Date,Adj Close,Open,High,Low
2005-01-04,11517.75,11458.27,11547.02,11431.57
2005-01-05,11437.52,11458.92,11461.1,11416.97
2005-01-06,11492.26,11372.35,11492.26,11372.21
2005-01-07,11433.24,11528.69,11528.69,11432.19
2005-01-11,11539.99,11495.46,11580.69,11495.46
2005-01-12,11453.39,11537.6,11548.89,11449.49
2005-01-13,11358.22,11398.94,11424.68,11355.05
2005-01-14,11438.39,11341.8,11491.18,11320.49
2005-01-17,11487.1,11475.2,11535.86,11453.86
2005-01-18,11423.26,11504.16,11509.4,11401.32
2005-01-19,11405.34,11467.74,11486.93,11396.43
2005-01-20,11284.77,11335.12,11335.12,11259.27
2005-01-21,11238.37,11226.07,11290.14,11222.24
2005-01-24,11289.49,11213.03,11303.21,11212.63
2005-01-25,11276.91,11261.62,11276.91,11214.6
2005-01-26,11376.57,11346.81,11379.57,11329.42
2005-01-27,11341.31,11390.09,11390.09,11316.3
2005-01-28,11320.58,11334.41,11340.28,11218.88
2005-01-31,11387.59,11296.99,11467.5,11266.09
2005-02-01,11384.4,11422.02,11422.02,11330.06
2005-02-02,11407.14,11432.34,11447.28,11399.62
2005-02-03,11389.35,11430.9,11444.18,11344.41
2005-02-04,11360.4,11381.5,11383.05,11271.04
2005-02-07,11499.86,11393.04,11531.25,11381.78
2005-02-08,11490.43,11504.12,11519.03,11464.34
2005-02-09,11473.35,11519.9,11538.13,11457.96
2005-02-10,11553.56,11434.89,11553.73,11414.99
2005-02-14,11632.2,11644.4,11677.57,11626.42
2005-02-15,11646.49,11648.68,11676.26,11635.57
2005-02-16,11601.68,11629.69,11684.91,11585.46
2005-02-17,11582.72,11583.84,11638.18,11574.06
2005-02-18,11660.12,11562.93,11660.12,11562.93
2005-02-21,11651.02,11682.19,11690.49,11651.02
2005-02-22,11597.71,11636.47,11651.51,11592.04
2005-02-23,11500.18,11510.76,11510.76,11452.42
2005-02-24,11531.15,11513.84,11557.86,11507.2
2005-02-25,11658.25,11585.84,11677.2,11585.46
2005-02-28,11740.6,11742.01,11754.9,11704.32
2005-03-01,11780.53,11734.14,11780.53,11719.77
2005-03-02,11813.71,11804.84,11831.69,11780.61
2005-03-03,11856.46,11790.91,11856.46,11790.91
2005-03-04,11873.05,11815.79,11881.98,11769.67
2005-03-07,11925.36,11935.8,11975.46,11917.77
2005-03-08,11886.91,11936.84,11936.84,11878.89
2005-03-09,11966.69,11882.25,11966.69,11882.25
2005-03-10,11864.91,11892.38,11959.18,11863.54
2005-03-11,11923.89,11838.02,11964.21,11838.02
2005-03-14,11850.25,11947.29,11955.29,11850.25
2005-03-15,11821.09,11899.2,11912.81,11785.16
2005-03-16,11873.18,11822.18,11873.18,11793.03
2005-03-17,11775.5,11785.95,11808.04,11754.98
2005-03-18,11879.81,11792.29,11922.54,11790.96
2005-03-22,11841.97,11867.34,11889.13,11830.96
2005-03-23,11739.12,11823.97,11823.97,11681.16
2005-03-24,11745.97,11741.17,11819.37,11706.27
2005-03-25,11761.1,11788.68,11802.7,11732.8
2005-03-28,11792.3,11709.79,11816.72,11709.79
2005-03-29,11599.82,11809.66,11809.66,11563.12
2005-03-30,11565.88,11548.93,11608.45,11506.85
2005-03-31,11668.95,11623.1,11668.95,11590.72
2005-04-01,11723.63,11590.45,11723.63,11557.13
2005-04-04,11667.54,11666.31,11701.19,11652.66
2005-04-05,11774.31,11695.97,11786.65,11695.97
2005-04-06,11827.16,11783.74,11841.25,11760.71
2005-04-07,11810.99,11848.49,11848.49,11757.87
2005-04-08,11874.75,11867.15,11911.9,11839.66
2005-04-11,11745.64,11847.92,11847.92,11744.86
2005-04-12,11670.3,11739.05,11764.01,11657.66
2005-04-13,11637.52,11688.22,11718.78,11602.94
2005-04-14,11563.17,11578.78,11580.55,11474.82
2005-04-15,11370.69,11463.15,11463.15,11343.73
2005-04-18,10938.44,11223.65,11223.65,10920.66
2005-04-19,11065.86,11019.76,11082.84,10966.46
2005-04-20,11088.58,11173.84,11199.38,11052.38
2005-04-21,10984.39,10950.73,11001.31,10770.58
2005-04-22,11045.95,11116.61,11134.99,11045.95
2005-04-25,11073.77,11064.95,11114.45,11020.59
2005-04-26,11035.83,11085.75,11085.75,11019.94
2005-04-27,11005.42,10968.77,11022.44,10968.58
2005-04-28,11008.9,10979.05,11008.9,10892.71
2005-05-02,11002.11,10954.21,11035.95,10913.97
2005-05-06,11192.17,11119.78,11192.17,11109.33
2005-05-09,11171.32,11199.1,11199.1,11119.48
2005-05-10,11159.46,11193.22,11211.36,11125.0
2005-05-11,11120.7,11091.26,11120.7,11038.26
2005-05-12,11077.94,11118.13,11135.5,11069.69
2005-05-13,11049.11,11044.71,11103.08,11017.79
2005-05-16,10947.22,11045.29,11048.85,10935.53
2005-05-17,10825.39,11046.3,11066.76,10788.59
2005-05-18,10835.41,10848.63,10891.69,10821.41
2005-05-19,11077.16,10973.28,11102.43,10953.08
2005-05-20,11037.29,11104.33,11110.45,11034.82
2005-05-23,11158.65,11073.01,11163.54,11056.86
2005-05-24,11133.65,11184.64,11199.23,11101.93
2005-05-25,11014.43,11127.31,11127.9,10988.37
2005-05-26,11027.94,11024.36,11047.37,10978.85
2005-05-27,11192.33,11098.26,11192.33,11089.23
2005-05-30,11266.33,11201.32,11302.52,11197.79
2005-05-31,11276.59,11273.81,11297.33,11221.46
2005-06-01,11329.67,11220.94,11329.67,11220.55
2005-06-02,11280.05,11341.89,11374.69,11280.05
2005-06-03,11300.05,11302.96,11317.94,11233.65
2005-06-06,11270.62,11232.65,11270.62,11184.6
2005-06-07,11217.45,11233.08,11258.28,11179.13
2005-06-08,11281.03,11235.27,11322.43,11229.86
2005-06-09,11160.88,11289.03,11294.43,11148.36
2005-06-10,11304.23,11192.99,11331.37,11173.93
2005-06-13,11311.51,11308.65,11371.82,11299.78
2005-06-14,11335.92,11348.53,11363.48,11326.51
2005-06-15,11415.88,11365.62,11429.93,11355.85
2005-06-16,11416.38,11419.94,11462.52,11386.01
2005-06-17,11514.03,11472.36,11514.03,11463.36
2005-06-20,11483.35,11539.18,11539.18,11455.23
2005-06-21,11488.74,11474.23,11511.23,11464.25
2005-06-22,11547.28,11487.06,11560.6,11445.43
2005-06-23,11576.75,11539.42,11576.75,11530.78
2005-06-24,11537.03,11480.33,11537.03,11472.61
2005-06-27,11414.28,11445.64,11445.64,11378.99
2005-06-28,11513.83,11421.48,11519.48,11413.84
2005-06-29,11577.44,11567.82,11594.57,11547.13
